,0,1,2,3
66,-274.54556975538014,-31737.46303122156,-13874.347619912724,34638.6988324649
67,-250.17992015904923,-31714.550235067796,-13796.836912146338,34586.52910289573
68,-225.1690083645184,-31693.2414259548,-13704.814749426452,34530.19259260339
69,-199.53925427160388,-31673.577668046884,-13598.378248014733,34469.8597209776
70,-173.31773148485829,-31655.598287783327,-13477.63968475737,34405.7221035354
71,-146.53213871477823,-31639.34083233645,-13342.726378647947,34337.992183409566
72,-119.21077051868755,-31624.841029949246,-13193.78055656975,34266.902789022046
73,-91.38248741220868,-31612.13275219438,-13030.959203359176,34192.70661502212
74,-63.07668538289146,-31601.247978194464,-12854.433896348219,34115.67562343101
75,-34.32326483820428,-31592.2167608414,-12664.390624560503,34036.100361850404
76,-5.152599020690192,-31585.067195050444,-12461.029592751334,33954.28919557223
77,24.404498076350897,-31579.825388082598,-12244.565010498218,33870.56745048169
78,54.316804258759724,-31576.515431966553,-12015.224866564135,33785.27646378741
79,84.55272211261244,-31575.159378049477,-11773.250688771106,33698.77253985213
80,115.08031238167115,-31575.777213703383,-11518.897289637101,33611.42580874749
81,145.86732770593684,-31578.38684121178,-11252.432498044005,33523.61898562782
82,176.8812466856636,-31583.004058858864,-10974.136877219382,33435.74602962031
83,208.0893082348473,-31589.642544241236,-10684.303429328864,33348.21070167193
84,239.4585461879056,-31598.313839819788,-10383.237286990317,33261.42502168293
85,270.95582412299103,-31609.02734072698,-10071.25539203444,33175.807626296526
86,302.54787036515023,-31621.790284842456,-9748.686161850103,33091.78202990384
87,334.2013131323566,-31636.607745147398,-9415.869143665632,33009.7747927588
88,365.8827157872891,-31653.482624365766,-9073.154657129977,32930.21360156865
89,397.5586121576203,-31672.415651898064,-8720.903425569975,32853.52526951737
90,429.1955418875052,-31693.40538305083,-8359.486196311853,32780.13366436903
91,460.76008578292044,-31716.448200562725,-7989.283350466651,32710.457575058055
92,492.21890111352906,-31741.53831842556,-7610.684502590171,32644.90852896754
93,523.5387568337702,-31768.667787996274,-7224.088090638887,32583.88857388402
94,554.6865686859735,-31797.826506393365,-6829.900956653312,32527.788040348933
95,585.6294341484172,-31829.002227168898,-6428.53791861012,32476.9833017519
96,616.3346671914097,-31862.180573244877,-6020.421333893596,32431.834550972388
97,646.7698328046846,-31897.345052100245,-5605.980654845838,32392.683613616762
98,676.9027812596361,-31934.477073192495,-5185.651976863281,32359.851818861596
99,706.7016820701996,-31973.55596759555,-4759.877579515203,32333.637949546865
100,736.1350576165063,-32014.559009833014,-4329.1054611670315,32314.316293417665
101,765.1718163957925,-32057.46144188395,-3893.788867598081,32302.134817251834
102,793.7812858654409,-32102.236499335588,-3454.3858151097497,32297.313485005154
103,821.933244843458,-32148.855439655552,-3011.3586086259716,32300.042740042853
104,849.5979554321638,-32197.287572553563,-2565.173355292917,32310.482170006242
105,876.7461944313732,-32247.5002924007,-2116.299474089661,32328.759370904805
106,903.3492842078824,-32299.459112671826,-1665.2092019658471,32354.969024660644
107,929.3791229886548,-32353.12770237495,-1212.3770970258367,32389.172201614252
108,954.8082145457055,-32408.467924428896,-758.279539282066,32431.39589649194
109,979.6096972413275,-32465.439875948847,-303.394229502817,32481.63280311312
110,1003.7573724029788,-32524.00193039714,151.80031331841357,32539.84132976456
111,1027.2257319978532,-32584.11078155486,606.8252553431946,32605.945853780115
112,1049.9899855779079,-32645.72148926768,1061.201951588698,32679.83721052942
113,1072.0260864668792,-32708.78752691773,1514.4524494185612,32761.37340882803
114,1093.3107571616288,-32773.26083057131,1966.0999912944417,32850.380561816215
115,1113.82151392098,-32839.09184975045,2415.6695162594146,32946.65401968772
116,1133.5366905160806,-32906.229599774866,2862.6881596257817,33049.95968834315
117,1152.4354611171977,-32974.621715618836,3306.6857503416763,33160.03551614073
