,0,1,2,3
46,-592.5106469533922,-32455.614238647922,-12367.022708395263,34737.029451935625
47,-585.374529136883,-32411.469661219744,-12575.915170629236,34770.6725750077
48,-577.23923005508,-32367.821331422594,-12771.531756658436,34801.16501330013
49,-568.113337808494,-32324.733907359496,-12953.665962101712,34828.27352602918
50,-558.0064862260812,-32282.27145500838,-13122.125515372358,34851.78043622313
51,-546.9293446952071,-32240.49738059024,-13276.732580651322,34871.484497710495
52,-534.8936068984124,-32199.474363633824,-13417.323945621158,34887.20169814071
53,-521.9119784688743,-32159.26429080741,-13543.751193762551,34898.76599878303
54,-507.9981635775918,-32119.928190587612,-13655.880861031535,34906.03001192473
55,-493.1668504664561,-32081.52616883412,-13753.594576751995,34908.86561671189
56,-477.4336959424789,-32044.11734533842,-13836.789188574712,34907.164514249765
57,-460.81530884954424,-32007.759791413475,-13905.37687137106,34900.83872270918
58,-443.3292325351363,-31972.5104685902,-13959.285219946374,34889.82101307405
59,-424.99392633054896,-31938.42516848554,-13998.457325475147,34874.065286019024
60,-405.82874606412895,-31905.558453905556,-14022.851835577321,34853.54689022726
61,-385.8539236281249,-31873.963601245705,-14032.442997972305,34828.26288225207
62,-365.0905456207108,-31843.69254424914,-14027.220687664589,34798.23222779593
63,-343.5605310857325,-31814.79581918241,-14007.1904176323,34763.49594403009
64,-321.2866083736725,-31787.322511486396,-13972.373333007337,34724.11718231156
65,-298.2922911482695,-31761.320203958814,-13922.806188753388,34680.18125037628
66,-274.60185356410847,-31736.834926523043,-13858.541310865183,34631.79557280146
67,-250.24030464139474,-31713.911107636195,-13779.646541130103,34579.08958824099
68,-225.2333618649608,-31692.591527387856,-13686.205165510404,34522.214581651584
69,-199.60742403537517,-31672.917272338873,-13578.315826221646,34461.34344944743
70,-173.38954340081597,-31654.92769214799,-13456.092417600168,34396.670395255926
71,-146.6073970991238,-31638.66035803202,-13319.66396586952,34328.410553701346
72,-119.28925794018811,-31624.15102310344,-13169.1744929328,34256.79953942612
73,-91.46396455950351,-31611.433584627342,-13004.782864334635,34182.09291837775
74,-63.16089097440947,-31600.540048237443,-12826.66262155338,34104.56559825329
75,-34.40991557514931,-31591.50049414908,-12635.001798800518,34024.511134912784
76,-5.241389583482198,-31584.34304540476,-12430.002724520678,33942.24095155716
77,24.313894987852898,-31579.093838185814,-12211.881807801801,33858.08346752892
78,54.22473784099757,-31575.776994221516,-11980.869309921,33772.3831337442
79,84.45956332984576,-31574.414595324753,-11737.209101267172,33685.49937201709
80,114.98645379315111,-31575.02666008117,-11481.158403897121,33597.80541590135
81,145.77318324869282,-31577.63112271638,-11212.987519996746,33509.68705116333
82,176.78725141291662,-31582.243814163525,-10932.97954653419,33421.54125462301
83,207.99591801014688,-31588.87844535123,-10641.430076406,33333.77473086603
84,239.3662373351497,-31597.546592729515,-10338.646886391885,33246.802347245204
85,270.8650930325572,-31608.257686049044,-10024.949612247403,33161.04546865797
86,302.4592330564426,-31621.018998406496,-9700.66941127767,33076.93019480714
87,334.11530477313545,-31635.835638566674,-9366.148612748222,32994.885504019774
88,365.79989017022586,-31652.710545569385,-9021.74035650208,32915.34130920392
89,397.4795411345842,-31671.64448562682,-8667.808220164556,32838.726433147625
90,429.1208147621593,-31692.636051314697,-8304.725835329304,32765.466512087696
91,460.6903086622744,-31715.68166305801,-7932.876493130831,32695.98183826565
92,492.15469621915815,-31740.775572909854,-7552.6527396198135,32630.685154009992
93,523.4807617734813,-31767.909870619278,-7164.4559613683805,32569.979411693275
94,554.6354356867608,-31797.07449198184,-6768.695961742828,32514.255515660745
95,585.5858292516182,-31828.25722946394,-6365.790528291068,32463.890063860556
96,616.2992694110325,-31861.443745089837,-5956.164991701483,32419.243108366536
97,646.7433332499437,-31896.61758557764,-5540.251776798861,32380.655955215094
98,676.8858822227901,-31933.76019970838,-5118.489946051257,32348.44902492018
99,706.6950960808471,-31972.850957909755,-4691.324736069846,32322.91979563103
100,736.1395064635567,-32013.867174033923,-4259.207087590919,32304.340851109282
101,765.1880301183788,-32056.784129306347,-3822.5931694363435,32292.95805548642
102,793.8100017141046,-32101.57509842036,-3381.943896954853,32288.988876093557
103,821.9752062129825,-32148.211377749998,-2937.7244454527254,32292.62087452076
104,849.6539107674906,-32196.662315651236,-2490.403759127338,32304.010384465186
105,876.8168961080818,-32246.895344819644,-2040.4540560220657,32323.281392887515
106,903.4354873887639,-32298.876016670387,-1588.350329525111,32350.524638549858
107,929.4815844579539,-32352.56803770413,-1134.5698469385638,32385.79693920938
108,954.9276915226524,-32407.93330782065,-679.5916456469187,32429.120755657576
109,979.746946174621,-32464.931960539492,-223.8960274170267,32480.483997503645
110,1003.9131477479216,-32523.522405085398,232.0359486367142,32539.840072191088
111,1027.400784977881,-32583.661370293987,687.7229738866971,32607.108175300877
112,1050.1850629322828,-32645.30395029131,1142.683998289775,32682.173816826486
113,1072.2419291863587,-32708.40365189916,1596.4387382120244,32764.88957489617
114,1093.5480992139421,-32772.912443716,2048.508183444427,32855.07606544851
115,1114.081080967986,-32838.78080682174,2498.415102874221,32952.52311371202
116,1133.81919862449,-32905.957787052816,2945.684548278162,33056.991111056006
117,1152.741615464776,-32974.39104879241,3389.8443557058054,33168.21253891466
118,1170.8283558719565,-33044.026930219,3830.4256439235774,33285.893640062895
119,1188.0603264183692,-33114.81049995496,4266.96330939339,33409.71621655662
120,1204.4193360217246,-33186.685615055314,4698.996517263323,33539.33953313266
121,1219.8881151486823,-33259.59498027558,5126.069187851997,33674.40230477891
122,1234.4503340455865,-33333.48020855596,5547.730478113143,33814.524747498705
123,1248.0906199771155,-33408.28188265817,5963.535257572034,33959.31067196633
124,1260.7945734546465,-33483.93961788982,6373.044578231457,34108.349600751266
125,1272.5487834372022,-33560.392125849954,6775.826137951002,34261.21889102574
126,1283.340841488936,-33637.5772791288,7171.454736810684,34417.48584610619
127,1293.1593548782057,-33715.432176893024,7559.512725976975,34576.709800760254
128,1301.993958604413,-33793.893211287635,7939.5904485975025,34738.44416688254
129,1309.835326339907,-33872.8961345841,8311.286672258944,34902.238427856166
130,1316.6751802754054,-33952.37612700411,8674.20901255156,35067.640071629314
131,1322.5062998585374,-34032.26786514706,9027.974347293291,35234.19645420728
132,1327.3225294162824,-34112.50559094939,9372.209220976054,35401.45658686091
133,1331.1187846532619,-34193.02318110255,9706.550239007385,35568.97284185541
134,1333.8910580190209,-34273.75421685675,10030.644451331133,35736.30257289063
135,1335.6364229386331,-34354.632054136426,10344.149725022327,35903.009647703046
136,1336.3530369021669,-34435.58989389371,10646.73510546283,36068.66589140173
137,1336.040143409746,-34516.56085262539,10938.081165716498,36232.85244009359
138,1334.6980727701564,-34597.47803297912,11217.880343735069,36395.16100519802
139,1332.3282417521525,-34678.27459437414,11485.837267038754,36555.195049561444
140,1328.9331520888322,-34758.88382356219,11741.669064528818,36712.570877065074
